Date,Scrip,Open,High,Low,Close,Volume
20240101,00DS30,2093.83361,2094.88642,2090.81696,2091.54428,4437876000
20240101,00DSES,1364.13494,1365.23751,1360.38719,1361.23657,4437876000
20240101,00DSEX,6246.4954,6252.52816,6242.05393,6242.87385,4437876000
20240101,1JANATAMF,6.1,6.1,6.1,6.1,1477
20240101,1STPRIMFMF,32.8,34.4,31.7,33.7,1996693
20240101,AAMRANET,51.9,51.9,50.7,51.6,268245
20240101,AAMRATECH,30.7,30.7,30.6,30.7,78756
20240101,ABB1STMF,5.2,5.3,5.2,5.2,3212079
20240101,ABBANK,9.7,9.7,9.7,9.7,5240
20240101,ACI,260.2,260.2,260.2,260.2,100
20240101,ACIFORMULA,155,155,155,155,20
20240101,ACMELAB,85,85,85,85,563
20240101,ACMEPL,35.4,35.4,35.4,35.4,2
20240101,ADNTEL,117.9,119,116,117.9,88614
20240101,ADVENT,24.5,25.4,23.9,24.1,1802726
20240101,AFTABAUTO,28.5,28.7,27.1,27.2,1322841
20240101,AGNISYSL,23.7,23.8,23.4,23.5,337260
20240101,AGRANINS,38,39.5,37.2,39.1,156128
20240101,AIBL1STIMF,7.8,8,7.6,7.7,614609
20240101,AIL,74.6,76.3,73.6,74.5,125534
20240101,AL-HAJTEX,132.1,132.1,132.1,132.1,149
20240101,ALARABANK,23.7,23.8,23.7,23.7,44
20240101,ALIF,13.3,13.3,13.3,13.3,155
20240101,ALLTEX,17.5,17.5,17.5,17.5,13742
20240101,AMBEEPHA,815.6,831.7,802,809.5,4070
20240101,AMCL(PRAN),252,252,252,252,977
20240101,ANLIMAYARN,35.4,36.3,33.7,34.2,355231
20240101,ANWARGALV,213.3,213.3,213.3,213.3,4
20240101,AOL,36.5,36.5,36.5,36.5,32
20240101,APEXFOODS,303.9,304.5,297.6,299.8,23431
20240101,APEXFOOT,257.5,257.5,257.5,257.5,7028
20240101,APEXSPINN,120.2,129,118,118.3,50165
20240101,APEXTANRY,99.4,99.7,99.3,99.3,4645
20240101,ARAMIT,259.8,260,258.9,258.9,3260
20240101,ARAMITCEM,23.6,24,23.5,23.6,67212
20240101,ARGONDENIM,18.2,18.5,18.2,18.2,176443
20240101,ASIAINS,49.4,50.8,48.9,50.6,304827
20240101,ASIAPACINS,50.1,52.3,49.7,51.9,345425
20240101,ATCSLGF,10.4,10.9,10.3,10.8,2635794
20240101,ATLASBANG,104.2,104.2,104.2,104.2,190
20240101,AZIZPIPES,122,122.9,112,112.8,171230
20240101,BANGAS,117.9,117.9,115,115.2,43468
20240101,BANKASIA,20.2,20.2,20.2,20.2,210
20240101,BARKAPOWER,21.3,21.3,21.3,21.3,3000
20240101,BATASHOE,966.9,966.9,966,966.6,180
20240101,BATBC,518.7,518.7,518.7,518.7,708
20240101,BAYLEASING,23.9,23.9,23.9,23.9,25
20240101,BBS,21.6,21.6,21.6,21.6,102
20240101,BDAUTOCA,134.1,134.5,130,130.3,22844
20240101,BDCOM,34.5,34.8,34.4,34.6,382410
20240101,BDTHAI,28.2,30.6,28,30.6,7636273
20240101,BDWELDING,22.1,22.3,22.1,22.2,57466
20240101,BEACHHATCH,46.7,47.2,46,46.2,297858
20240101,BEACONPHAR,245,245,245,245,884
20240101,BENGALWTL,25,25,24.3,24.4,131566
20240101,BERGERPBL,1785,1785,1766.1,1768.5,781
20240101,BEXGSUKUK,85,85,85,85,60
20240101,BEXIMCO,115.6,115.6,115.6,115.6,17
20240101,BGIC,50.6,51.7,50,51.5,20587
20240101,BIFC,9.5,9.5,9.5,9.5,100
20240101,BNICL,56.9,58.2,56.7,57.9,190250
20240101,BPML,60.4,60.9,60.2,60.4,156872
20240101,BRACBANK,35.8,35.8,35.8,35.8,12989
20240101,BSC,107,107,107,107,4941
20240101,BSCCL,218.9,218.9,218.9,218.9,309
20240101,BSRMLTD,90,90,90,90,160
20240101,BSRMSTEEL,63.9,63.9,63.9,63.9,200
20240101,BXPHARMA,146.2,146.2,146.2,146.2,419
20240101,CAPITECGBF,13.3,13.8,13.1,13.6,1657573
20240101,CAPMBDBLMF,9.9,10.1,9.9,9.9,605822
20240101,CAPMIBBLMF,13.3,14,13.3,13.9,823269
20240101,CENTRALINS,37.8,38.4,37,37.7,73775
20240101,CENTRALPHL,21,21.5,18.9,19.4,5657335
20240101,CITYBANK,21.4,21.4,21.4,21.4,1332
20240101,CITYGENINS,49.3,49.4,48.6,48.7,43917
20240101,CLICL,54.3,55.8,53.3,55.4,276490
20240101,CNATEX,10.2,10.2,10.2,10.2,1492
20240101,CONTININS,40.1,41.9,39.9,41.5,804821
20240101,COPPERTECH,36.9,36.9,36.9,36.9,8
20240101,CROWNCEMNT,75,75,74.6,74.7,5325
20240101,CRYSTALINS,88,93.6,86.4,93.6,660893
20240101,CVOPRL,168.9,169.4,166,166.4,45171
20240101,DACCADYE,13.5,13.8,13.2,13.3,902341
20240101,DAFODILCOM,84.3,84.3,80.6,81.7,34589
20240101,DBH,56.7,56.7,56.7,56.7,375
20240101,DBH1STMF,6.9,7.4,6.9,7.3,984129
20240101,DELTALIFE,136.5,136.5,136.5,136.5,3150
20240101,DELTASPINN,8.5,8.5,8.5,8.5,280692
20240101,DGIC,33.7,35.8,33.6,35.5,1149170
20240101,DHAKABANK,12.5,12.5,12.5,12.5,963
20240101,DHAKAINS,51.6,53.3,51.4,52.8,97509
20240101,DOMINAGE,16.5,16.8,16.2,16.2,1270246
20240101,DSHGARME,111.4,111.4,111.4,111.4,115
20240101,DSSL,17,17,17,17,280
20240101,DUTCHBANGL,59.1,59.1,59.1,59.1,1905
20240101,EASTERNINS,68.1,74.6,67,74.4,1715199
20240101,EASTLAND,24.5,25.3,24.4,25.1,630257
20240101,EASTRNLUB,1551,1563.9,1546.2,1548.7,1498
20240101,EBL,29.4,29.4,29.4,29.4,201439
20240101,EBL1STMF,7.4,7.4,7.4,7.4,4400
20240101,EBLNRBMF,6.5,6.5,6.5,6.5,25843
20240101,ECABLES,181.3,181.3,181.3,181.3,2
20240101,EGEN,45.2,45.2,45.2,45.2,200
20240101,EHL,87,87,84,85.4,255993
20240101,EIL,37.9,38.5,37.5,38.3,2611871
20240101,EMERALDOIL,74.9,74.9,67.5,70.3,1262250
20240101,ENVOYTEX,43.9,43.9,43.9,43.9,300
20240101,EPGL,34.5,34.5,34.5,34.5,153
20240101,ETL,12.8,13.2,11.5,11.8,3647582
20240101,EXIM1STMF,5.8,5.8,5.8,5.8,14035
20240101,EXIMBANK,10.4,10.4,10.4,10.4,33397
20240101,FAMILYTEX,4.9,4.9,4.9,4.9,5
20240101,FARCHEM,28.2,28.2,28.2,28.2,14460
20240101,FAREASTLIF,75,75,75,75,7
20240101,FASFIN,5.4,5.4,5.4,5.4,130427
20240101,FBFIF,5.2,5.2,5,5,920448
20240101,FEDERALINS,24.7,25.3,24.6,25.1,238470
20240101,FEKDIL,17.2,17.2,17.2,17.2,1218
20240101,FINEFOODS,133,134.7,131,131.5,109036
20240101,FIRSTSBANK,8.9,8.9,8.9,8.9,473
20240101,FORTUNE,75.7,75.7,75.7,75.7,3332
20240101,FUWANGCER,19,19.5,18,18.2,2054577
20240101,FUWANGFOOD,27.5,28,27,27.1,1127241
20240101,GBBPOWER,15.1,15.1,15.1,15.1,1
