time/episodes,train/learning_rate,train/n_updates,train/reward,train/critic_loss,time/time_elapsed,time/fps,train/actor_loss,time/total_timesteps
4,0.001,10323,0.16417,5.072673320770264,241,43,35.146202087402344,10424
8,0.001,20747,0.16417,2.392524242401123,481,43,38.424285888671875,20848
12,0.001,31171,0.16417,2.294764518737793,718,43,34.62016296386719,31272
16,0.001,41595,0.16417,1.4224755764007568,962,43,28.634746551513672,41696
