train/learning_rate,train/explained_variance,time/iterations,train/entropy_loss,train/policy_loss,train/n_updates,train/reward,train/std,time/fps,time/total_timesteps,time/time_elapsed,train/value_loss
0.0007,0.0,4200,-41.46027374267578,-24.011499404907227,4199,-1.0146669,1.0116944313049316,134,21000,155,0.8434532880783081
0.0007,-0.10898447036743164,4300,-41.527565002441406,81.14569854736328,4299,-0.5559535,1.0141065120697021,134,21500,159,4.215478420257568
0.0007,-0.287617564201355,4400,-41.54045486450195,42.04215621948242,4399,-3.123185,1.014568567276001,134,22000,163,5.918673038482666
0.0007,0.0,4500,-41.5037956237793,44.83060836791992,4499,3.9003177,1.0132969617843628,134,22500,167,1.5752568244934082
0.0007,0.061381399631500244,4600,-41.56169128417969,81.8597640991211,4599,-1.323353,1.0153024196624756,134,23000,171,10.303265571594238
0.0007,0.1780397891998291,4700,-41.53712463378906,79.0577621459961,4699,3.0574608,1.0146499872207642,134,23500,174,6.157096862792969
0.0007,0.0,4800,-41.54596710205078,-28.350168228149414,4799,-1.2823857,1.0150740146636963,134,24000,178,5.030746936798096
0.0007,0.0,4900,-41.582523345947266,138.08810424804688,4899,-0.32088232,1.016352653503418,134,24500,182,13.695719718933105
0.0007,0.0,5000,-41.621826171875,-94.94961547851562,4999,0.43160537,1.0179364681243896,134,25000,186,5.95086145401001
0.0007,0.0,5100,-41.65852737426758,183.69735717773438,5099,-0.17504968,1.0188976526260376,134,25500,190,20.41982078552246
0.0007,0.0,5200,-41.67816925048828,40.0778923034668,5199,-1.7214085,1.0199050903320312,134,26000,193,5.570044040679932
0.0007,0.0,5300,-41.7020263671875,-90.0842056274414,5299,-1.6071395,1.0210648775100708,134,26500,197,10.946070671081543
0.0007,9.5367431640625e-07,5400,-41.726097106933594,-101.94750213623047,5399,-1.7142943,1.0212342739105225,134,27000,201,5.811817646026611
0.0007,0.0,5500,-41.726959228515625,103.9461441040039,5499,-1.8852749,1.0212782621383667,134,27500,204,6.779585838317871
0.0007,-1.1920928955078125e-07,5600,-41.682456970214844,142.21466064453125,5599,0.9782445,1.0199497938156128,134,28000,208,14.331927299499512
0.0007,0.0,5700,-41.65113830566406,93.14546203613281,5699,3.277356,1.0185699462890625,134,28500,212,7.445924282073975
0.0007,0.0,5800,-41.648536682128906,-107.71745300292969,5799,0.9821682,1.018768548965454,134,29000,215,14.140414237976074
0.0007,0.0,5900,-41.67443084716797,-268.73822021484375,5899,5.3457503,1.019767165184021,134,29500,219,49.420005798339844
0.0007,0.0,6000,-41.656044006347656,-199.59341430664062,5999,0.48060215,1.0191093683242798,134,30000,223,25.220169067382812
0.0007,-0.1358962059020996,6100,-41.68067169189453,25.52657699584961,6099,3.612842,1.0200927257537842,134,30500,226,0.8846858143806458
0.0007,-0.07357943058013916,6200,-41.675689697265625,-210.4278564453125,6199,-5.7565923,1.0196319818496704,134,31000,230,85.42269134521484
0.0007,0.0,6300,-41.73220443725586,44.69398498535156,6299,1.1870053,1.021805763244629,134,31500,234,5.279627799987793
0.0007,1.7881393432617188e-07,6400,-41.8165283203125,102.5194320678711,6399,6.513287,1.0247769355773926,134,32000,238,17.600631713867188
0.0007,-0.017737627029418945,6500,-41.82394790649414,-299.8918151855469,6499,1.3637521,1.0250638723373413,134,32500,242,50.776710510253906
0.0007,0.0,6600,-41.882591247558594,-89.7047348022461,6599,-2.5890222,1.0272600650787354,134,33000,245,6.285648345947266
0.0007,2.384185791015625e-06,6700,-41.93156051635742,-31.153112411499023,6699,1.8668972,1.0289998054504395,134,33500,249,0.9268341064453125
0.0007,-0.04712045192718506,6800,-41.998226165771484,46.36763381958008,6799,-1.0760224,1.0314077138900757,134,34000,253,1.6394875049591064
0.0007,0.0,6900,-42.06255340576172,-71.83252716064453,6899,-1.2340418,1.033748984336853,134,34500,257,6.557949066162109
0.0007,0.01137000322341919,7000,-42.07093048095703,-61.4616813659668,6999,3.065367,1.0340203046798706,134,35000,260,16.472686767578125
0.0007,0.0,7100,-42.10745620727539,-17.996097564697266,7099,0.37417737,1.0352646112442017,134,35500,264,0.21494917571544647
0.0007,-0.0007597208023071289,7200,-42.13516616821289,-8.437606811523438,7199,-0.051503707,1.036219596862793,133,36000,268,0.2818622589111328
0.0007,0.0,7300,-42.19093322753906,-62.227264404296875,7299,-0.41115993,1.0383416414260864,133,36500,272,2.7224135398864746
0.0007,0.0,7400,-42.24944305419922,-484.0972595214844,7399,3.576545,1.0405123233795166,133,37000,276,159.960693359375
0.0007,5.960464477539063e-08,7500,-42.271766662597656,-71.87178802490234,7499,-0.12934132,1.0412077903747559,133,37500,280,5.737521648406982
0.0007,-1.1920928955078125e-07,7600,-42.349525451660156,-86.2475357055664,7599,9.046692,1.0441242456436157,133,38000,284,8.937957763671875
0.0007,-0.723275899887085,7700,-42.36092758178711,46.68642044067383,7699,0.32699043,1.0443729162216187,133,38500,288,1.3170011043548584
0.0007,0.0,7800,-42.3548698425293,76.28047180175781,7799,-0.57125014,1.043990135192871,133,39000,292,5.813711166381836
0.0007,0.0,7900,-42.362510681152344,-234.064208984375,7899,1.9194694,1.0445889234542847,133,39500,295,33.90256881713867
0.0007,0.0,8000,-42.330142974853516,-37.887027740478516,7999,-0.83942807,1.0435607433319092,133,40000,299,3.7266547679901123
0.0007,0.16218572854995728,8100,-42.38791275024414,-308.3477783203125,8099,4.456138,1.0456146001815796,133,40500,302,76.71510314941406
0.0007,5.960464477539063e-08,8200,-42.32933044433594,-1506.2364501953125,8199,-14.699313,1.0437906980514526,133,41000,306,1589.131103515625
0.0007,-0.010053157806396484,8300,-42.33639144897461,-137.1505126953125,8299,-1.0320058,1.0439566373825073,133,41500,309,17.151996612548828
0.0007,0.0,8400,-42.323097229003906,-122.4133071899414,8399,0.10848584,1.0434218645095825,133,42000,313,11.17126178741455
0.0007,0.0,8500,-42.362823486328125,-26.0452880859375,8499,1.8529439,1.0450466871261597,133,42500,317,1.8332020044326782
0.0007,-0.00011301040649414062,8600,-42.35713195800781,-32.06059646606445,8599,3.2207181,1.0448460578918457,133,43000,321,2.356874704360962
0.0007,-0.12072253227233887,8700,-42.31564712524414,299.65362548828125,8699,4.735136,1.0434026718139648,133,43500,324,58.88849639892578
0.0007,1.7881393432617188e-07,8800,-42.30720901489258,1103.3250732421875,8799,0.27210057,1.0433759689331055,133,44000,328,634.6055908203125
0.0007,0.06884831190109253,8900,-42.330841064453125,130.63037109375,8899,2.1037788,1.0439503192901611,133,44500,332,9.92483901977539
0.0007,-1.1920928955078125e-07,9000,-42.316162109375,113.24455261230469,8999,-0.25307864,1.0436760187149048,133,45000,335,6.994846343994141
0.0007,0.0063855648040771484,9100,-42.30636978149414,-39.80112838745117,9099,-1.2306186,1.0430872440338135,133,45500,339,1.2335050106048584
0.0007,0.0,9200,-42.336456298828125,169.5447998046875,9199,0.9359875,1.0441484451293945,133,46000,343,18.781112670898438
0.0007,0.0,9300,-42.33180236816406,46.86632537841797,9299,4.4882565,1.0442928075790405,133,46500,347,4.5402679443359375
0.0007,0.0,9400,-42.335994720458984,132.23497009277344,9399,4.7294006,1.0443944931030273,133,47000,351,51.74357986450195
0.0007,0.31952428817749023,9500,-42.32407760620117,47.67847442626953,9499,0.6057788,1.043779730796814,133,47500,354,1.579925298690796
0.0007,0.0001277923583984375,9600,-42.34700012207031,30.239038467407227,9599,-1.5239002,1.0448424816131592,133,48000,358,1.3513990640640259
0.0007,0.0,9700,-42.360572814941406,4.836385726928711,9699,-1.152733,1.0451000928878784,133,48500,362,0.30361783504486084
0.0007,0.0,9800,-42.43214416503906,-298.9087219238281,9799,-1.7682161,1.047390103340149,134,49000,365,48.03870391845703
0.0007,0.0,9900,-42.449790954589844,9.936739921569824,9899,5.405367,1.0482121706008911,133,49500,369,2.6766698360443115
0.0007,0.0,10000,-42.4456787109375,183.58334350585938,9999,-26.798847,1.0479899644851685,133,50000,373,22.020910263061523
