,initial_value,final_value,annual_return,sharpe_ratio,max_drawdown
a2c,1014670.5189148292,1058016.1945891494,1.4041566982536446,3.280998545322848e-05,-151957.46137805178
ddpg,1036320.0168444555,1084571.6680285374,1.5285357569332358,3.0660149196534916e-05,-191816.78480529774
td3,1050454.8445071331,915325.9538897626,-4.4861987274652515,-5.9032051339587665e-05,-309783.85771942127
ppo,1009710.0664818264,1027998.6185246693,0.6001469229996559,1.4915138488449267e-05,-184124.06946183008
sac,1026971.5319453357,1031869.3901452868,0.1587221029275554,3.4475992121994495e-06,-192925.19699821097
mean var,1000730.0887620504,928866.7872387643,-2.453394999101477,-4.53984765280635e-05,-264967.36236194626
dji,1041671.0004376635,958126.4408129024,-2.7482517546357443,-5.226297446272378e-05,-235216.17001461377
