,initial_value,final_value,annual_return,sharpe_ratio,max_drawdown
a2c,2000000.0,2239783.0998000004,3.8465299853464696,2.4173448041875147e-05,-470314.39999999944
ddpg,2000000.0,2091689.5018499997,1.5053828727336072,1.1828788372744854e-05,-364009.5
td3,2000000.0,2190890.4414,3.085335403903855,2.5032386430465135e-05,-435628.7000000002
ppo,2000000.0,2033835.8089000003,0.5607795331386001,5.668864885237027e-06,-370989.17955000023
sac,2000000.0,2018565.0923499998,0.3084657164891258,2.2538011035926658e-06,-459919.24835000024
mvo,2052308.8272546185,1972858.665058024,-1.3074386732846777,-1.1522737253102493e-05,-420029.8163139757
