,initial_value,final_value,annual_return,sharpe_ratio,max_drawdown
a2c,1855317.4156000004,1859139.0156000003,0.06861322028719474,1.0174360580855098e-06,-289717.90000000014
ddpg,1967413.3018000002,1921226.3018000002,-0.7887381462123866,-8.141457307148001e-06,-374417.6000000001
td3,2052115.1768,2093510.5768,0.6679309049693716,7.910561165328709e-06,-343964.50000000047
ppo,1968795.6739499988,1956892.0390999992,-0.20194589525300843,-2.092830308371426e-06,-336006.1337499998
sac,2056456.7019499992,2147643.50195,1.4567331340151535,1.5984327108842842e-05,-368834.29999999935
mvo,2007220.1057342803,2048119.9731629596,0.6746506930095153,8.891234494204489e-06,-359588.7404021227
