train/learning_rate,train/n_updates,train/reward,time/fps,time/episodes,time/total_timesteps,train/actor_loss,train/critic_loss,time/time_elapsed
0.001,11727,-9.378513,44,4,11828,-7.520742416381836,46.81175994873047,263
0.001,23555,-9.378513,47,8,23656,-11.151395797729492,7.0437726974487305,502
0.001,35383,-9.378513,46,12,35484,-14.549118041992188,3.0669288635253906,755
0.001,47211,-9.378513,45,16,47312,-18.985572814941406,2.6535301208496094,1045
